nameAr,barcode,gtin,activeIngredients,strength,dosageForm,manufacturer,officialPrice,requiresPrescription,source
LORNICAM 4 MG 30 TABS.,,,LORNOXICAM,,ORAL.SOLID,ATCO PHARMA > MIRA INTERNATIONAL,66.0,,Elhafez Reference 25065
LORNICAM 8 MG RAPID 10 DISINTEGRATING TABS.,,,LORNOXICAM,,ORAL.SOLID,ATCO PHARMA > MIRA INTERNATIONAL,45.0,,Elhafez Reference 25065
LORNICAM 8 MG RAPID 30 DISINTEGRATING TABS.,,,LORNOXICAM,,ORAL.SOLID,ATCO PHARMA > MIRA INTERNATIONAL,135.0,,Elhafez Reference 25065
LORNOX 4MG 10 F.C. TABS. (N/A),,,LORNOXICAM,,ORAL.SOLID,EGPI,7.0,,Elhafez Reference 25065
LORNOX 8 MG 30 F.C. TABS.,,,LORNOXICAM,,ORAL.SOLID,EGPI,66.0,,Elhafez Reference 25065
LORNOXICAM 4MG 20 F.C.TAB,,,LORNOXICAM,,ORAL.SOLID,GLOBAL NAPI PHARMACEUTICALS > GLOBAL PHARMACEUTICAL INDUSTRIES,54.0,,Elhafez Reference 25065
LORNOXICAM 8MG 20 F.C.TAB,,,LORNOXICAM,,ORAL.SOLID,GLOBAL NAPI PHARMACEUTICALS > GLOBAL PHARMACEUTICAL INDUSTRIES,72.0,,Elhafez Reference 25065
LORNOXICAM 8MG 30 F.C.TAB,,,LORNOXICAM,,ORAL.SOLID,GLOBAL NAPI PHARMACEUTICALS > GLOBAL PHARMACEUTICAL INDUSTRIES,108.0,,Elhafez Reference 25065
LORNOXICAM 8MG/2ML VIAL FOR I.M./I.V. INJ.,,,LORNOXICAM,,INJECTION,GLOBAL PHARMACEUTICAL INDUSTRIES,32.0,,Elhafez Reference 25065
LORRAINE 10 SACHETS,,,MARINE HYDROLYZED COLLAGEN 8 G+VITAMIN C 36 MG+CALCIUM CARBONATE 400 MG+MAGNESIUM CITRATE 57 MG+VITAMIN E 15 IU,,EFF,PREMIER INTERNATIONAL,220.0,,Elhafez Reference 25065
LORVINOMEGA 1000MG 20CAPS,,,OMEGA 3+EBA+DHA,,ORAL.SOLID,PHARMA ZAD > BIO TOP PHARMA,180.0,,Elhafez Reference 25065
LOSAPOTT 50 MG 14 F.C. TAB.,,,LOSARTAN POTASSIUM,,ORAL.SOLID,PHAROPHARMA,21.6,,Elhafez Reference 25065
LOSAR 50MG 28 F.C. TAB.,,,LOSARTAN POTASSIUM,,ORAL.SOLID,UNIPHARMA,82.0,,Elhafez Reference 25065
LOSAR PLUS 8 F.C. TAB,,,HYDROCHLOROTHIAZIDE+LOSARTAN,,ORAL.SOLID,UNIPHARMA,34.0,,Elhafez Reference 25065
LOSARMEPHA-50 MG 14 F.C. TABS.,,,LOSARTAN POTASSIUM,,ORAL.SOLID,SIGMA > ACINO,32.4,,Elhafez Reference 25065
LOSARMEPHA-PLUS 7 TABS.,,,HYDROCHLOROTHIAZIDE+LOSARTAN,,ORAL.SOLID,SIGMA > ACINO,13.5,,Elhafez Reference 25065
