nameAr,barcode,gtin,activeIngredients,strength,dosageForm,manufacturer,officialPrice,requiresPrescription,source
AVAZIR 0.3% EYE OINT. 5 GM,,,TOBRAMYCIN,,EYE,ORCHIDIA PHARMACEUTICAL INDUSTRIES > ORCHIDIA,26.0,,Elhafez Reference 25065
AVEENO BABY DAILY MOISTURE LOTION 150 ML,,,,,UNKNOWN,JOHNSON & JOHNSON,100.0,,Elhafez Reference 25065
AVEENO DERMEXA DAILY EMOLLIENT BODY WASH 280 ML,,,,,TOPICAL,JOHNSON & JOHNSON,260.0,,Elhafez Reference 25065
AVEENO DERMEXA EMOLLIENT BODY CREAM 200 ML,,,,,TOPICAL,JOHNSON & JOHNSON,200.0,,Elhafez Reference 25065
AVEENO DERMEXA EMOLLIENT HAND CREAM 75 ML,,,,,TOPICAL,JOHNSON & JOHNSON,120.0,,Elhafez Reference 25065
AVEENZ SUN SCREEN 50+ SPF CREAM 50 GM,,,BUTYL METHOXY DIBENZOYLMETHANE+BENZOPHENONE-3+BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE,,TOPICAL,EGYPTIAN COMPANY FOR COSMETICS > EXCELLENCE PHARM,150.0,,Elhafez Reference 25065
AVEFOX 30 TABS.,,,VITAMIN B1+VITAMIN B6+VITAMIN B7+VITAMIN B12+FOLIC ACID,,ORAL.SOLID,PHARMA ZAD > HEALING PHARMA,150.0,,Elhafez Reference 25065
AVENE 50+ CREAM 50 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,379.0,,Elhafez Reference 25065
AVENE 50+ EMULSION 50 ML,,,,,UNKNOWN,PIERRE - FABRE FRANCE > BIOTECH EGYPT,379.0,,Elhafez Reference 25065
AVENE 50+ MILK 100 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,479.0,,Elhafez Reference 25065
AVENE 50+ MILK FOR CHILDREN 100 ML,,,,,UNKNOWN,PIERRE - FABRE FRANCE > BIOTECH EGYPT,239.0,,Elhafez Reference 25065
AVENE 50+ SPRAY 200 ML,,,,,SPRAY,PIERRE - FABRE FRANCE > BIOTECH EGYPT,489.0,,Elhafez Reference 25065
AVENE 50+ SPRAY FOR CHILDREN 200 ML,,,SUN PROTECTION FORMULA,,SPRAY,PIERRE - FABRE FRANCE > BIOTECH EGYPT,499.0,,Elhafez Reference 25065
AVENE 50+ TINTED CREAM 50 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,379.0,,Elhafez Reference 25065
AVENE 50+ TINTED EMULSION 50 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,379.0,,Elhafez Reference 25065
AVENE AFTER-SUN CARE LOTION 200 ML,,,,,UNKNOWN,PIERRE - FABRE FRANCE > BIOTECH EGYPT,157.0,,Elhafez Reference 25065
AVENE AKERAT CREAM 200ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,339.0,,Elhafez Reference 25065
AVENE AKERAT SMOOTHING EXFOLIATING CREAM 200ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,299.0,,Elhafez Reference 25065
AVENE CICALFATE+ RESTORATIVE SKIN CREAM 40 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,250.0,,Elhafez Reference 25065
AVENE CLEAN AC 40 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,154.0,,Elhafez Reference 25065
AVENE CLEANANCE CLEANSING WATER 400ML,,,,,UNKNOWN,PIERRE - FABRE FRANCE > BIOTECH EGYPT,245.0,,Elhafez Reference 25065
AVENE CLEANANCE EXPERT EMULSION 40 ML,,,,,UNKNOWN,PIERRE - FABRE FRANCE > BIOTECH EGYPT,249.0,,Elhafez Reference 25065
AVENE CLEANANCE GEL 200 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,240.0,,Elhafez Reference 25065
AVENE CLEANANCE HYDRA CREAM 40 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,289.0,,Elhafez Reference 25065
AVENE CLEANANCE K CREAM-GEL 40 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,149.0,,Elhafez Reference 25065
AVENE CLEANANCE SUNSCREEN SPF 50+ 50 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,379.0,,Elhafez Reference 25065
AVENE COLD CREAM 100 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,269.0,,Elhafez Reference 25065
AVENE COLD CREAM BODY LOTION 400 ML,,,,,UNKNOWN,PIERRE - FABRE FRANCE > BIOTECH EGYPT,295.0,,Elhafez Reference 25065
AVENE COLD CREAM CLEANSING GEL 250 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,189.0,,Elhafez Reference 25065
AVENE COLD CREAM FOR HANDS 75 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,235.0,,Elhafez Reference 25065
AVENE COLD CREAM LIP BALM 4 GM,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,165.0,,Elhafez Reference 25065
AVENE COLD CREAM LIP CREAM 15 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,165.0,,Elhafez Reference 25065
AVENE D-PIGMENT LIGHT 30 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,365.0,,Elhafez Reference 25065
AVENE D-PIGMENT RICH 30 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,365.0,,Elhafez Reference 25065
AVENE ELUAGE CREAM 30 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,429.0,,Elhafez Reference 25065
AVENE ELUAGE EYE CONTOUR 15 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,379.0,,Elhafez Reference 25065
AVENE EXTREMELY GENTLE CLEANSER 200ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,179.0,,Elhafez Reference 25065
AVENE GENTLE PURIFYING SCRUB 75 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,325.0,,Elhafez Reference 25065
AVENE GENTLE TONER 200 ML,,,,,UNKNOWN,PIERRE - FABRE FRANCE > BIOTECH EGYPT,245.0,,Elhafez Reference 25065
AVENE HIGH PROTECTION COMPACT SPF 50 BEIGE (SABLE) 10 GM,,,,,UNKNOWN,PIERRE - FABRE FRANCE > BIOTECH EGYPT,439.0,,Elhafez Reference 25065
AVENE HIGH PROTECTION COMPACT SPF 50 HONEY 10 GM,,,,,UNKNOWN,PIERRE - FABRE FRANCE > BIOTECH EGYPT,439.0,,Elhafez Reference 25065
AVENE HIGH PROTECTION MINERAL CREAM SPF 50 - 50 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,285.0,,Elhafez Reference 25065
AVENE HYDRANCE OPTIMALE LIGHT SPF20 40 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,249.0,,Elhafez Reference 25065
AVENE HYDRANCE OPTIMALE RICH SPF20 40 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,249.0,,Elhafez Reference 25065
AVENE MICELLAR LOTION CLEANSER AND MAKE-UP REMOVER 200ML,,,,,UNKNOWN,PIERRE - FABRE FRANCE > BIOTECH EGYPT,185.0,,Elhafez Reference 25065
AVENE PHYSIOLIFT EYES 15ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,395.0,,Elhafez Reference 25065
AVENE PHYSIOLIFT PRECISION WRINKLE FILLER 15ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,519.0,,Elhafez Reference 25065
AVENE PHYSIOLIFT SMOOTHING NIGHT BALM 30ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,499.0,,Elhafez Reference 25065
AVENE SKIN RECOVERY CREAM 40 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,219.0,,Elhafez Reference 25065
AVENE SOOTHING EYE CONTOUR CREAM 10 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,189.0,,Elhafez Reference 25065
AVENE THERMAL SPRING WATER 150 ML,,,,,SPRAY,PIERRE - FABRE FRANCE > BIOTECH EGYPT,230.0,,Elhafez Reference 25065
AVENE THERMAL SPRING WATER 300 ML,,,,,SPRAY,PIERRE - FABRE FRANCE > BIOTECH EGYPT,325.0,,Elhafez Reference 25065
AVENE TOLERANCE EXTREME CREAM 50 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,365.0,,Elhafez Reference 25065
AVENE TRIACNEAL CREAM 30 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,219.0,,Elhafez Reference 25065
AVENE TRIACNEAL EXPERT EMULSION 30 ML,,,,,UNKNOWN,PIERRE - FABRE FRANCE > BIOTECH EGYPT,389.0,,Elhafez Reference 25065
AVENE TRIXERA NUTRI-FLUID BALM 200ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,399.0,,Elhafez Reference 25065
AVENE TRIXERA NUTRI-FLUID CLEANSER 400ML,,,,,UNKNOWN,PIERRE - FABRE FRANCE > BIOTECH EGYPT,399.0,,Elhafez Reference 25065
AVENE TRIXERA NUTRI-FLUID LOTION 400ML,,,,,UNKNOWN,PIERRE - FABRE FRANCE > BIOTECH EGYPT,365.0,,Elhafez Reference 25065
AVENE TRIXERA+ SELECTIOSE EMOLLIENT BALM 200ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,259.0,,Elhafez Reference 25065
AVENE TRIXERA+ SELECTIOSE EMOLLIENT CLEANSING GEL 400ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,279.0,,Elhafez Reference 25065
AVENE TRIXERA+ SELECTIOSE EMOLLIENT CREAM 200ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,259.0,,Elhafez Reference 25065
AVENE ULTRA RICH CLEANSING SOAP 100 GM,,,,,SOAP,PIERRE - FABRE FRANCE > BIOTECH EGYPT,155.0,,Elhafez Reference 25065
AVENE XERACALM A.D CREAM 200ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,429.0,,Elhafez Reference 25065
AVENE YSTHEAL+ CREAM 30 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,429.0,,Elhafez Reference 25065
AVENE YSTHEAL+ EYE CONTOUR 15 ML,,,,,TOPICAL,PIERRE - FABRE FRANCE > BIOTECH EGYPT,399.0,,Elhafez Reference 25065
AVENIR 3G 10 SACHETS,,,FERROUS BIS GLYCINAT+LACTOFERRIN+VAITIMN C,,EFF,NUTRIXIA > ARCADIA,130.0,,Elhafez Reference 25065
AVENTO TOUCH CREAM 50 GM,,,CERAMIDE+PANTHENOL+CHAMOMILE+ALLANTOIN+OTHER,,TOPICAL,NILE COSMECEUTICAL > AVENTO PHARMACEUTICAL,110.0,,Elhafez Reference 25065
AVEROBIOS 642.9 MG/5 ML 60ML SUSP.,,,AMOXICILLIN+CLAVULANIC ACID,,ORAL.LIQUID,ARAB CAPS > AVERROES PHARMA-EGYPT,104.0,,Elhafez Reference 25065
AVEROBIOS 642.9 MG/5 ML 75ML SUSP.,,,AMOXICILLIN+CLAVULANIC ACID,,ORAL.LIQUID,SIGMATEC > AVERROES PHARMA-EGYPT,118.0,,Elhafez Reference 25065
AVEROCAL-D SYRUP 120 ML,,,CALCIUM GLUBIONATE+VITAMIN D3+CYANOCOBALAMINE+VITAMIN K1,,ORAL.LIQUID,AVERROES PHARMA,35.0,,Elhafez Reference 25065
AVEROCOXIB 120 MG 10 F.C. TABS.,,,ETORICOXIB,,ORAL.SOLID,AVERROES PHARMA,92.0,,Elhafez Reference 25065
AVEROCOXIB 60 MG 30 F.C. TABS.,,,ETORICOXIB,,ORAL.SOLID,AVERROES PHARMA,228.0,,Elhafez Reference 25065
AVEROCOXIB 90 MG 20 F.C. TABS.,,,ETORICOXIB,,ORAL.SOLID,AVERROES PHARMA,228.0,,Elhafez Reference 25065
AVEROFAGE 15/500MG 30 F.C.TABS.,,,METFORMIN+PIOGLITAZONE,,ORAL.SOLID,AVERROES PHARMA-EGYPT,69.0,,Elhafez Reference 25065
AVEROFAGE 15/850MG 30 F.C.TABS.,,,METFORMIN+PIOGLITAZONE,,ORAL.SOLID,AVERROES PHARMA-EGYPT,76.5,,Elhafez Reference 25065
AVEROFECTAN 250MG/5ML SUSP. 60 ML,,,CEFDINIR,,ORAL.LIQUID,SHIFA MEDICAL PRODUCTS > AVERROES PHARMA-EGYPT,32.0,,Elhafez Reference 25065
AVEROFEROZ 30 CAPS.,,,IRON+ZINC+COPPER+VITAMIN(B6+B12)+FOLIC ACID,,ORAL.SOLID,AVERROES PHARMA,110.0,,Elhafez Reference 25065
AVEROLOSIN 2 GM GR. 7 SACHETS,,,STRONTIUM-89 CHLORIDE,,EFF,AVERROES PHARMA-EGYPT,43.0,,Elhafez Reference 25065
AVEROMILAN 50 MG 30 F.C.TABS.,,,MILNACIPRAN HYDROCHLORIDE,,ORAL.SOLID,AVERROES PHARMA,106.5,,Elhafez Reference 25065
AVEROPREG 100MG 15 CAPS.,,,PREGABALIN,,ORAL.SOLID,EL-OBOUR > AVERROES PHARMA-EGYPT,69.0,,Elhafez Reference 25065
AVEROPREG 100MG/5ML SYRUP 60 ML,,,PREGABALIN,,ORAL.LIQUID,AVERROES PHARMA-EGYPT,55.5,,Elhafez Reference 25065
AVEROPREG 50MG 20 CAPS.,,,PREGABALIN,,ORAL.SOLID,EL-OBOUR > AVERROES PHARMA-EGYPT,64.0,,Elhafez Reference 25065
AVEROSOMNIA 3 MG 20 F.C. TABS.,,,ESZOPICLONE,,ORAL.SOLID,AVERROES PHARMA,54.0,,Elhafez Reference 25065
AVEROTHIAZIDE 10/40/12.5 MG 30 F.C.TABS.,,,AMLODIPINE+OLMESARTAN+HYDROCHLOROTHIAZIDE,,ORAL.SOLID,AVERROES PHARMA-EGYPT,126.0,,Elhafez Reference 25065
AVEROTHIAZIDE 5/20/12.5 MG 30 F.C.TABS.,,,AMLODIPINE+OLMESARTAN+HYDROCHLOROTHIAZIDE,,ORAL.SOLID,AVERROES PHARMA-EGYPT,93.0,,Elhafez Reference 25065
AVEROTHIAZIDE 5/40/12.5 MG 30 F.C.TABS.,,,AMLODIPINE+OLMESARTAN+HYDROCHLOROTHIAZIDE,,ORAL.SOLID,AVERROES PHARMA-EGYPT,123.0,,Elhafez Reference 25065
AVEROTHIAZIDE 5/40/25MG 30 F.C.TABS.,,,AMLODIPINE+OLMESARTAN+HYDROCHLOROTHIAZIDE,,ORAL.SOLID,AVERROES PHARMA,123.0,,Elhafez Reference 25065
AVEROZOLID 100MG/5ML SUSP. 150ML,,,LINEZOLID,,EFF,EL-OBOUR > AVERROES PHARMA,106.0,,Elhafez Reference 25065
AVEROZOLID 100MG/5ML SUSP. 60 ML,,,LINEZOLID,,EFF,EL-OBOUR > AVERROES PHARMA-EGYPT,67.0,,Elhafez Reference 25065
AVEROZOLID 200MG/100ML I.V. INFUSION 300 ML,,,LINEZOLID,,INJECTION,OTSUKA > AVERROES PHARMA-EGYPT,126.0,,Elhafez Reference 25065
AVEROZOLID 600 MG 10 F.C.TAB.,,,LINEZOLID,,ORAL.SOLID,EL-OBOUR > AVERROES PHARMA-EGYPT,231.0,,Elhafez Reference 25065
AVERTOL FACIAL WASH 200 ML,,,LAURYL GLUCOSIDE+PANTHENOL+SULPHUR+SALICYLIC ACID+ALMOND OIL+VIT B3+LICORICE+CARBOMER+OLEANOLIC ACID,,TOPICAL,EGYPTIAN COMPANY FOR COSMETICS > GLOBAL PHARM,55.0,,Elhafez Reference 25065
AVETRIX GEL 100GM,,,,,TOPICAL,MACRO GROUP PHARMACEUTICALS,135.0,,Elhafez Reference 25065
AVIATAN 20 CHEWABLE TABLETS,,,CALCIUM+MAGNESIUM+VIT D,,ORAL.SOLID,PHARMAZAD > ELGHAREEB PHARMA,70.0,,Elhafez Reference 25065
AVICAL 24 CHEW. TABS.,,,CALCIUM CARBONATE+FOLIC ACID+VITAMIN D+VITAMIN E,,ORAL.SOLID,NUTRIXIA > AVICENNA PHARM,49.0,,Elhafez Reference 25065
AVICHEST 2% 100ML SYRUP FOR CHILDREN & INFANTS,,,CARBOCYSTEINE,,ORAL.LIQUID,SANOFI,5.8,,Elhafez Reference 25065
AVICHEST 375 MG 20 CAPS.,,,CARBOCYSTEINE,,ORAL.SOLID,SANOFI,6.8,,Elhafez Reference 25065
AVICHEST 5% SYRUP FOR ADULT 100ML,,,CARBOCYSTEINE,,ORAL.LIQUID,SANOFI,7.0,,Elhafez Reference 25065
AVIL 45.5MG/2ML 6 I.M. AMPS.,,,PHENIRAMINE,,INJECTION,SANOFI,69.0,,Elhafez Reference 25065
AVIL RETARD 75MG 10 TAB. (CANCELLED),,,PHENIRAMINE,,ORAL.SOLID,SANOFI,6.75,,Elhafez Reference 25065
AVILAC 10 SACHETS,,,FENUGREEK SEEDS+FENNEL SEEDS+GINGER ROOTS+ANISE SEEDS,,EFF,PHARMAZAD > AVICENNA PHARM,120.0,,Elhafez Reference 25065
AVIONOL 4 MG 10 EXTENDED REL. TABS. (CANCELLED),,,FESOTERODINE,,ORAL.SOLID,MARCYRL PHARMACEUTICAL INDUSTRIES (MPI) > ECCO PHARM,20.0,,Elhafez Reference 25065
AVIONOL 8 MG 10 EXTENDED REL. TABS. (CANCELLED),,,FESOTERODINE,,ORAL.SOLID,MARCYRL PHARMACEUTICAL INDUSTRIES (MPI) > ECCO PHARM,26.0,,Elhafez Reference 25065
AVIPECT SYRUP 100 ML,,,AMMONIUM CHLORIDE+PHENIRAMINE,,ORAL.LIQUID,SANOFI,9.0,,Elhafez Reference 25065
AVIPIRAVIR 200 MG 40 F.C.TABS.,,,FAVIPIRAVIR,,ORAL.SOLID,EVA PHARMA,404.0,,Elhafez Reference 25065
AVIRON 24 TABS.,,,IRON+FOLIC ACID+VITAMIN B6+VITAMIN B12,,ORAL.SOLID,NUTRIXIA > AVICENNA PHARM,58.0,,Elhafez Reference 25065
AVIROX CREAM 30 GM,,,ALLANTOIN+ALLIUM CEPA+ASCORBIC ACID+BETACAROTENE+CALENDULA OFFICINALIS+ECHINACEA PALLIDA+GLYCYRRHIZA,,TOPICAL,HI-CARE > ROVENTIS PHARMA,135.0,,Elhafez Reference 25065
AVIVAPRIL 10/12.5 MG 28 TABS.,,,HYDROCHLOROTHIAZIDE+RAMIPRIL,,ORAL.SOLID,MARCYRL PHARMACEUTICAL INDUSTRIES (MPI),54.0,,Elhafez Reference 25065
AVIVAPRIL 5 / 12.5 MG 21 TABS.,,,HYDROCHLOROTHIAZIDE+RAMIPRIL,,ORAL.SOLID,MARCYRL PHARMACEUTICAL INDUSTRIES (MPI),33.0,,Elhafez Reference 25065
AVIVATOR 10/10 MG 21 F.C. TAB. (N/A),,,AMLODIPINE+ATORVASTATIN,,ORAL.SOLID,MARCYRL PHARMACEUTICAL INDUSTRIES (MPI),48.0,,Elhafez Reference 25065
AVIVATOR 5/10 MG 21 F.C. TAB. (N/A),,,AMLODIPINE+ATORVASTATIN,,ORAL.SOLID,MARCYRL PHARMACEUTICAL INDUSTRIES (MPI),42.0,,Elhafez Reference 25065
AVIVAVASC 10/160MG 28 F.C. TABS.,,,AMLODIPINE+VALSARTAN,,ORAL.SOLID,MARCYRL PHARMACEUTICAL INDUSTRIES (MPI),140.0,,Elhafez Reference 25065
AVIVAVASC 5/160MG 28 F.C. TABS.,,,AMLODIPINE+VALSARTAN,,ORAL.SOLID,MARCYRL PHARMACEUTICAL INDUSTRIES (MPI),124.0,,Elhafez Reference 25065
AVOBEANO 10 CAPS.,,,AVOCADO+SOYBEAN,,ORAL.SOLID,FARMAZAD > CANTRET,150.0,,Elhafez Reference 25065
AVOCAPI 10CAPS.,,,AVOCADO OIL+SOYA BEAN OIL,,ORAL.SOLID,ALFACURE PHARMACEUTICALS,8.5,,Elhafez Reference 25065
AVODART 0.5 MG 30 CAPS.,,,DUTASTERIDE,,ORAL.SOLID,CATALENT SCHORNDOF GMBH-GERMANY > GLAXO SMITHKLINE,313.0,,Elhafez Reference 25065
AVONEX 30 MCG (6MIU) 4 SYRINGES,,,INTERFERON BETA-1A,,INJECTION,BIOGEN > RAMCO,14875.0,,Elhafez Reference 25065
AVOREND 30 F.C. TABS.,,,GLUCOSAMINE+CHONDROITIN+AVOCADO SOYBEAN UNSAPONIFIABLES (ASU)+VITAMIN C+VITAMIN E+MANGANESE,,ORAL.SOLID,> TREND PHARM,300.0,,Elhafez Reference 25065
AVOREXAL 30 CAPS.,,,AVOCADO OIL+SOYA BEAN OIL,,ORAL.SOLID,DELTA PHARMA,270.0,,Elhafez Reference 25065
AVOSCALDINE 300MG 20 SOFT GELATIN CAPS.,,,AVOCADO OIL+SOYA BEAN OIL,,ORAL.SOLID,SIGMA > CHEMIPHARM,27.6,,Elhafez Reference 25065
AVOSOYA 30 CAPS.,,,AVOCADO OIL+SOYA BEAN OIL,,ORAL.SOLID,DEBEIKY > TREND PHARM,350.0,,Elhafez Reference 25065
AVRISURG TOPICAL CREAM 30 GM,,,LIDOCAINE+PRILOCAINE,,TOPICAL,MEDIZEN PHARMACEUTICAL INDUSTRIES,55.0,,Elhafez Reference 25065
AWADICIPRO 500 MG 10 F.C. TABS.,,,CIPROFLOXACIN,,ORAL.SOLID,HIGH PERFORMANCE PHARMA (HP PHARMA),69.0,,Elhafez Reference 25065
AWADILEVO 500 MG 10 TABS.,,,LEVOFLOXACIN,,ORAL.SOLID,HP PHARMA,92.0,,Elhafez Reference 25065
AWADIST 1000 MG 20 F.C. TABS.,,,PARACETAMOL(ACETAMINOPHEN),,ORAL.SOLID,HIGH PERFORMANCE PHARMA (HP PHARMA),60.0,,Elhafez Reference 25065
AWADIST COLD & FLU 20 F.C. TABS.,,,PARACETAMOL(ACETAMINOPHEN)+PSEUDOEPHEDRINE+TRIPROLIDINE,,ORAL.SOLID,HIGH PERFORMANCE PHARMA (HP PHARMA),48.0,,Elhafez Reference 25065
AWADIST COLD & FLU DAY 20 F.C. TABS.,,,PARACETAMOL(ACETAMINOPHEN)+PSEUDOEPHEDRINE+LORATADINE,,ORAL.SOLID,HIGH PERFORMANCE PHARMA (HP PHARMA),38.0,,Elhafez Reference 25065
AWADIST JOINT 665 MG 20 F.C. TABS.,,,PARACETAMOL(ACETAMINOPHEN),,ORAL.SOLID,HIGH PERFORMANCE PHARMA (HP PHARMA),30.0,,Elhafez Reference 25065
AWADIST MIGRAINE 20 F.C. TABS.,,,PARACETAMOL(ACETAMINOPHEN)+CAFFEINE+ERGOTAMINE,,ORAL.SOLID,HIGH PERFORMANCE PHARMA (HP PHARMA),26.0,,Elhafez Reference 25065
AWADIST PLUS 20 F.C. TABS.,,,DIPHENHYDRAMINE+PARACETAMOL(ACETAMINOPHEN),,ORAL.SOLID,HIGH PERFORMANCE PHARMA (HP PHARMA),56.0,,Elhafez Reference 25065
AWADIST RELAX 20 F.C. TABS.,,,METHOCARBAMOL+PARACETAMOL(ACETAMINOPHEN),,ORAL.SOLID,HIGH PERFORMANCE PHARMA (HP PHARMA),30.0,,Elhafez Reference 25065
AWADIST WOMAN 20 F.C. TABS.,,,PARACETAMOL(ACETAMINOPHEN)+CAFFEINE+DIMENHYDRINATE,,ORAL.SOLID,HIGH PERFORMANCE PHARMA (HP PHARMA),19.0,,Elhafez Reference 25065
AWAZI 600 MG 10 F.C. TABS.,,,LINEZOLID,,ORAL.SOLID,HP PHARMA,182.0,,Elhafez Reference 25065
AXAL ANTISEPTIC BODY WASH 250 ML,,,PANTHENOL+CHLORHEXIDINE+HEXAMIDINE+LACTIC ACID+CLOVE OIL+ALOE VERA EXT.+CHAMOMILE OIL+OLIVE OIL+THYME OIL,,TOPICAL,> CIRA PHARMA,120.0,,Elhafez Reference 25065
AXAL MASSAGE BALM 25 GM,,,,,TOPICAL,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > CIRA PHARMA,95.0,,Elhafez Reference 25065
AXAL MASSAGE OIL 10 ML,,,,,UNKNOWN,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > CIRA PHARMA,85.0,,Elhafez Reference 25065
AXIBONE 30 TABS.,,,CALCIUM+MAGNESIUM+ZINC+VITAMIN D3+COPPER+MANGANESE+SELENIUM+BORON,,ORAL.SOLID,COPAD EGYPT > THERAPY INC. INTERNATIONAL,144.0,,Elhafez Reference 25065
AXICA  20 PILLS,,,CALCIUM+MAGNESIUM+LACTOFERRIN+ZINC+VITAMIN C+VITAMIN D3,,UNKNOWN,BRAND INTERNATIONAL > AUC PHARMA,80.0,,Elhafez Reference 25065
AXIN 150 MG 20 CAPS.,,,NIZATIDINE,,ORAL.SOLID,FUTURE PHARMACEUTICAL INDUSTRIES (FPI),21.0,,Elhafez Reference 25065
AXIOM MELATONIN 1 MG 30 TABS.,,,MELATONIN,,ORAL.SOLID,> AXIOM,120.0,,Elhafez Reference 25065
AXIOM MELATONIN 3 MG 30 TABS.,,,MELATONIN,,ORAL.SOLID,> AXIOM,150.0,,Elhafez Reference 25065
AXIOM MELATONIN 5 MG 30 TABS.,,,MELATONIN,,ORAL.SOLID,> AXIOM,240.0,,Elhafez Reference 25065
AXIRED 20 TAB.,,,IRON+LACTOFERRIN+FOLIC ACID+COPPER+POTASSIUM IODIDE+MANGANESE,,ORAL.SOLID,NUTRIXIA > THERAPY INC. INTERNATIONAL,79.0,,Elhafez Reference 25065
AXITA 10 SACHETS,,,LACTOFERRIN+FERROUS FUMERATE+VITAMIN B COMPLEX+FOLIC ACID+VITAMIN C,,EFF,BRAND NUTRITION > PHARMA GRAM,180.0,,Elhafez Reference 25065
AXOLIP 600 MG 30 FILM COATED TABLETS,,,THIOCTIC ACID(ALFALIPOIC-ACID 600MG),,ORAL.SOLID,ORGANIX FOR DIETARY SUPPLEMENTS > SOLVACARE PHARMACEUTICALS,255.0,,Elhafez Reference 25065
AXOMYELLIN ULTRA 30 F.C. TABS.,,,ALPHA LIPOIC ACID+BENFOTIAMINE+PYRIDOXINE HCL+CYANOBALAMIN+CHOLECALCIFEROL,,ORAL.SOLID,MED CARE > PARKVILLE PHARMACEUTICALS,460.0,,Elhafez Reference 25065
AYAPENAM 500/500MG VIAL FOR I.V. INF.,,,CILASTATIN+IMIPENEM,,INJECTION,MISR > ARAX PHARM. IND.,289.0,,Elhafez Reference 25065
AYLAFIORA 50 GM CREAM,,,PANTHENOL+ZINC OXIDE+CHAMOMILLA RECUTITA,,TOPICAL,BRAND INTERNATIONAL > VILATRIQ,60.0,,Elhafez Reference 25065
AYOS SKIN CLEANSER 200 ML,,,SALICYLIC ACID+GLYCOLIC ACID+HYDROQUINONE+GLYCERIN+PANTHENOL,,UNKNOWN,AYOS PHARMA,45.0,,Elhafez Reference 25065
AZACTAM 1 GM VIAL I.V./I.M. (CANCELLED),,,AZTREONAM,,INJECTION,BRISTOL-MYERS SQUIBB,35.0,,Elhafez Reference 25065
AZACTAM 500 MG VIAL I.V./I.M. (CANCELLED),,,AZTREONAM,,INJECTION,BRISTOL-MYERS SQUIBB,18.6,,Elhafez Reference 25065
AZADERM 20% CREAM 30 GM,,,AZELAIC ACID,,TOPICAL,MUP,87.0,,Elhafez Reference 25065
